Chave:10000 | Alt esq: 0 | Alt dir: 0 
Chave:10122 | Alt esq: 0 | Alt dir: 0 
Chave:10123 | Alt esq: 4 | Alt dir: 4 
Chave:10124 | Alt esq: 0 | Alt dir: 0 
Chave:10125 | Alt esq: 1 | Alt dir: 2 
Chave:10126 | Alt esq: 0 | Alt dir: 0 
Chave:10127 | Alt esq: 1 | Alt dir: 0 
Chave:10128 | Alt esq: 3 | Alt dir: 3 
Chave:10129 | Alt esq: 0 | Alt dir: 0 
Chave:10130 | Alt esq: 1 | Alt dir: 2 
Chave:10131 | Alt esq: 0 | Alt dir: 1 
Chave:10132 | Alt esq: 0 | Alt dir: 0 
Chave:10133 | Alt esq: 5 | Alt dir: 6 
Chave:10134 | Alt esq: 0 | Alt dir: 0 
Chave:10135 | Alt esq: 1 | Alt dir: 1 
Chave:10136 | Alt esq: 0 | Alt dir: 0 
Chave:10137 | Alt esq: 2 | Alt dir: 2 
Chave:10138 | Alt esq: 0 | Alt dir: 0 
Chave:10139 | Alt esq: 1 | Alt dir: 0 
Chave:10140 | Alt esq: 3 | Alt dir: 4 
Chave:10141 | Alt esq: 0 | Alt dir: 1 
Chave:10142 | Alt esq: 0 | Alt dir: 0 
Chave:10143 | Alt esq: 2 | Alt dir: 2 
Chave:10144 | Alt esq: 0 | Alt dir: 1 
Chave:10145 | Alt esq: 0 | Alt dir: 0 
Chave:10146 | Alt esq: 3 | Alt dir: 2 
Chave:10147 | Alt esq: 0 | Alt dir: 0 
Chave:10148 | Alt esq: 1 | Alt dir: 1 
Chave:10149 | Alt esq: 0 | Alt dir: 0 
Chave:10150 | Alt esq: 5 | Alt dir: 4 
Chave:10151 | Alt esq: 0 | Alt dir: 0 
Chave:10152 | Alt esq: 1 | Alt dir: 1 
Chave:10153 | Alt esq: 0 | Alt dir: 0 
Chave:10154 | Alt esq: 2 | Alt dir: 3 
Chave:10155 | Alt esq: 0 | Alt dir: 0 
Chave:10156 | Alt esq: 1 | Alt dir: 1 
Chave:10157 | Alt esq: 0 | Alt dir: 0 
Chave:10158 | Alt esq: 2 | Alt dir: 2 
Chave:10159 | Alt esq: 0 | Alt dir: 1 
Chave:10160 | Alt esq: 0 | Alt dir: 0 
Chave:10161 | Alt esq: 7 | Alt dir: 6 
Chave:10162 | Alt esq: 0 | Alt dir: 0 
Chave:10163 | Alt esq: 1 | Alt dir: 1 
Chave:10164 | Alt esq: 0 | Alt dir: 0 
Chave:10165 | Alt esq: 2 | Alt dir: 2 
Chave:10166 | Alt esq: 0 | Alt dir: 1 
Chave:10167 | Alt esq: 0 | Alt dir: 0 
Chave:10168 | Alt esq: 3 | Alt dir: 3 
Chave:10169 | Alt esq: 0 | Alt dir: 0 
Chave:10170 | Alt esq: 1 | Alt dir: 2 
Chave:10171 | Alt esq: 0 | Alt dir: 1 
Chave:10172 | Alt esq: 0 | Alt dir: 0 
Chave:10173 | Alt esq: 4 | Alt dir: 5 
Chave:10174 | Alt esq: 0 | Alt dir: 0 
Chave:10175 | Alt esq: 1 | Alt dir: 1 
Chave:10176 | Alt esq: 0 | Alt dir: 0 
Chave:10177 | Alt esq: 2 | Alt dir: 1 
Chave:10178 | Alt esq: 0 | Alt dir: 0 
Chave:10179 | Alt esq: 3 | Alt dir: 3 
Chave:10180 | Alt esq: 0 | Alt dir: 0 
Chave:10181 | Alt esq: 1 | Alt dir: 1 
Chave:10182 | Alt esq: 0 | Alt dir: 0 
Chave:10183 | Alt esq: 2 | Alt dir: 2 
Chave:10184 | Alt esq: 0 | Alt dir: 0 
Chave:10185 | Alt esq: 1 | Alt dir: 0 
Chave:10186 | Alt esq: 4 | Alt dir: 4 
Chave:10187 | Alt esq: 0 | Alt dir: 0 
Chave:10188 | Alt esq: 1 | Alt dir: 0 
Chave:10189 | Alt esq: 2 | Alt dir: 3 
Chave:10190 | Alt esq: 0 | Alt dir: 0 
Chave:10191 | Alt esq: 1 | Alt dir: 0 
Chave:10192 | Alt esq: 2 | Alt dir: 1 
Chave:10193 | Alt esq: 0 | Alt dir: 0 
Chave:10194 | Alt esq: 8 | Alt dir: 7 
Chave:10195 | Alt esq: 0 | Alt dir: 1 
Chave:10196 | Alt esq: 0 | Alt dir: 0 
Chave:10197 | Alt esq: 2 | Alt dir: 2 
Chave:10198 | Alt esq: 0 | Alt dir: 0 
Chave:10199 | Alt esq: 1 | Alt dir: 0 
Chave:10200 | Alt esq: 3 | Alt dir: 3 
Chave:10201 | Alt esq: 0 | Alt dir: 0 
Chave:10202 | Alt esq: 1 | Alt dir: 0 
Chave:10203 | Alt esq: 2 | Alt dir: 2 
Chave:10204 | Alt esq: 0 | Alt dir: 0 
Chave:10205 | Alt esq: 1 | Alt dir: 1 
Chave:10206 | Alt esq: 0 | Alt dir: 0 
Chave:10207 | Alt esq: 4 | Alt dir: 5 
Chave:10208 | Alt esq: 0 | Alt dir: 0 
Chave:10209 | Alt esq: 1 | Alt dir: 1 
Chave:10210 | Alt esq: 0 | Alt dir: 0 
Chave:10211 | Alt esq: 2 | Alt dir: 2 
Chave:10212 | Alt esq: 0 | Alt dir: 1 
Chave:10213 | Alt esq: 0 | Alt dir: 0 
Chave:10214 | Alt esq: 3 | Alt dir: 4 
Chave:10215 | Alt esq: 0 | Alt dir: 0 
Chave:10216 | Alt esq: 1 | Alt dir: 1 
Chave:10217 | Alt esq: 0 | Alt dir: 0 
Chave:10218 | Alt esq: 2 | Alt dir: 1 
Chave:10219 | Alt esq: 0 | Alt dir: 0 
Chave:10220 | Alt esq: 3 | Alt dir: 2 
Chave:10221 | Alt esq: 0 | Alt dir: 0 
Chave:10222 | Alt esq: 1 | Alt dir: 0 
Chave:10223 | Alt esq: 6 | Alt dir: 6 
Chave:10224 | Alt esq: 0 | Alt dir: 0 
Chave:10225 | Alt esq: 1 | Alt dir: 1 
Chave:10226 | Alt esq: 0 | Alt dir: 0 
Chave:10227 | Alt esq: 2 | Alt dir: 1 
Chave:10228 | Alt esq: 0 | Alt dir: 0 
Chave:10229 | Alt esq: 3 | Alt dir: 4 
Chave:10230 | Alt esq: 0 | Alt dir: 0 
Chave:10231 | Alt esq: 1 | Alt dir: 2 
Chave:10232 | Alt esq: 0 | Alt dir: 0 
Chave:10233 | Alt esq: 1 | Alt dir: 0 
Chave:10234 | Alt esq: 3 | Alt dir: 2 
Chave:10235 | Alt esq: 0 | Alt dir: 1 
Chave:10236 | Alt esq: 0 | Alt dir: 0 
Chave:10237 | Alt esq: 5 | Alt dir: 5 
Chave:10238 | Alt esq: 0 | Alt dir: 0 
Chave:10239 | Alt esq: 1 | Alt dir: 2 
Chave:10240 | Alt esq: 0 | Alt dir: 0 
Chave:10241 | Alt esq: 1 | Alt dir: 1 
Chave:10242 | Alt esq: 0 | Alt dir: 0 
Chave:10243 | Alt esq: 3 | Alt dir: 2 
Chave:10244 | Alt esq: 0 | Alt dir: 1 
Chave:10245 | Alt esq: 0 | Alt dir: 0 
Chave:10246 | Alt esq: 4 | Alt dir: 4 
Chave:10247 | Alt esq: 0 | Alt dir: 1 
Chave:10248 | Alt esq: 0 | Alt dir: 0 
Chave:10249 | Alt esq: 2 | Alt dir: 1 
Chave:10250 | Alt esq: 0 | Alt dir: 0 
Chave:10251 | Alt esq: 3 | Alt dir: 3 
Chave:10252 | Alt esq: 0 | Alt dir: 0 
Chave:10253 | Alt esq: 1 | Alt dir: 1 
Chave:10254 | Alt esq: 0 | Alt dir: 0 
Chave:10255 | Alt esq: 2 | Alt dir: 2 
Chave:10256 | Alt esq: 0 | Alt dir: 0 
Chave:10257 | Alt esq: 1 | Alt dir: 1 
Chave:10258 | Alt esq: 0 | Alt dir: 0 
Chave:10259 | Alt esq: 10 | Alt dir: 10 
Chave:10260 | Alt esq: 0 | Alt dir: 0 
Chave:10261 | Alt esq: 1 | Alt dir: 2 
Chave:10262 | Alt esq: 0 | Alt dir: 0 
Chave:10263 | Alt esq: 1 | Alt dir: 1 
Chave:10264 | Alt esq: 0 | Alt dir: 0 
Chave:10265 | Alt esq: 3 | Alt dir: 3 
Chave:10266 | Alt esq: 0 | Alt dir: 0 
Chave:10267 | Alt esq: 1 | Alt dir: 1 
Chave:10268 | Alt esq: 0 | Alt dir: 0 
Chave:10269 | Alt esq: 2 | Alt dir: 2 
Chave:10270 | Alt esq: 0 | Alt dir: 0 
Chave:10271 | Alt esq: 1 | Alt dir: 0 
Chave:10272 | Alt esq: 4 | Alt dir: 4 
Chave:10273 | Alt esq: 0 | Alt dir: 1 
Chave:10274 | Alt esq: 0 | Alt dir: 0 
Chave:10275 | Alt esq: 2 | Alt dir: 1 
Chave:10276 | Alt esq: 0 | Alt dir: 0 
Chave:10277 | Alt esq: 3 | Alt dir: 3 
Chave:10278 | Alt esq: 0 | Alt dir: 0 
Chave:10279 | Alt esq: 1 | Alt dir: 0 
Chave:10280 | Alt esq: 2 | Alt dir: 2 
Chave:10281 | Alt esq: 0 | Alt dir: 0 
Chave:10282 | Alt esq: 1 | Alt dir: 1 
Chave:10283 | Alt esq: 0 | Alt dir: 0 
Chave:10284 | Alt esq: 5 | Alt dir: 5 
Chave:10285 | Alt esq: 0 | Alt dir: 1 
Chave:10286 | Alt esq: 0 | Alt dir: 0 
Chave:10287 | Alt esq: 2 | Alt dir: 3 
Chave:10288 | Alt esq: 0 | Alt dir: 0 
Chave:10289 | Alt esq: 1 | Alt dir: 2 
Chave:10290 | Alt esq: 0 | Alt dir: 1 
Chave:10291 | Alt esq: 0 | Alt dir: 0 
Chave:10292 | Alt esq: 4 | Alt dir: 4 
Chave:10293 | Alt esq: 0 | Alt dir: 0 
Chave:10294 | Alt esq: 1 | Alt dir: 2 
Chave:10295 | Alt esq: 0 | Alt dir: 1 
Chave:10296 | Alt esq: 0 | Alt dir: 0 
Chave:10297 | Alt esq: 3 | Alt dir: 3 
Chave:10298 | Alt esq: 0 | Alt dir: 0 
Chave:10299 | Alt esq: 1 | Alt dir: 1 
Chave:10300 | Alt esq: 0 | Alt dir: 0 
Chave:10301 | Alt esq: 2 | Alt dir: 2 
Chave:10302 | Alt esq: 0 | Alt dir: 0 
Chave:10303 | Alt esq: 1 | Alt dir: 0 
Chave:10304 | Alt esq: 6 | Alt dir: 7 
Chave:10305 | Alt esq: 0 | Alt dir: 1 
Chave:10306 | Alt esq: 0 | Alt dir: 0 
Chave:10307 | Alt esq: 2 | Alt dir: 1 
Chave:10308 | Alt esq: 0 | Alt dir: 0 
Chave:10309 | Alt esq: 3 | Alt dir: 3 
Chave:10310 | Alt esq: 0 | Alt dir: 1 
Chave:10311 | Alt esq: 0 | Alt dir: 0 
Chave:10312 | Alt esq: 2 | Alt dir: 2 
Chave:10313 | Alt esq: 0 | Alt dir: 0 
Chave:10314 | Alt esq: 1 | Alt dir: 0 
Chave:10315 | Alt esq: 4 | Alt dir: 3 
Chave:10316 | Alt esq: 0 | Alt dir: 1 
Chave:10317 | Alt esq: 0 | Alt dir: 0 
Chave:10318 | Alt esq: 2 | Alt dir: 2 
Chave:10319 | Alt esq: 0 | Alt dir: 0 
Chave:10320 | Alt esq: 1 | Alt dir: 1 
Chave:10321 | Alt esq: 0 | Alt dir: 0 
Chave:10322 | Alt esq: 5 | Alt dir: 6 
Chave:10323 | Alt esq: 0 | Alt dir: 0 
Chave:10324 | Alt esq: 1 | Alt dir: 1 
Chave:10325 | Alt esq: 0 | Alt dir: 0 
Chave:10326 | Alt esq: 2 | Alt dir: 2 
Chave:10327 | Alt esq: 0 | Alt dir: 0 
Chave:10328 | Alt esq: 1 | Alt dir: 0 
Chave:10329 | Alt esq: 3 | Alt dir: 3 
Chave:10330 | Alt esq: 0 | Alt dir: 0 
Chave:10331 | Alt esq: 1 | Alt dir: 0 
Chave:10332 | Alt esq: 2 | Alt dir: 1 
Chave:10333 | Alt esq: 0 | Alt dir: 0 
Chave:10334 | Alt esq: 4 | Alt dir: 5 
Chave:10335 | Alt esq: 0 | Alt dir: 0 
Chave:10336 | Alt esq: 1 | Alt dir: 2 
Chave:10337 | Alt esq: 0 | Alt dir: 1 
Chave:10338 | Alt esq: 0 | Alt dir: 0 
Chave:10339 | Alt esq: 3 | Alt dir: 4 
Chave:10340 | Alt esq: 0 | Alt dir: 0 
Chave:10341 | Alt esq: 1 | Alt dir: 0 
Chave:10342 | Alt esq: 2 | Alt dir: 3 
Chave:10343 | Alt esq: 0 | Alt dir: 0 
Chave:10344 | Alt esq: 1 | Alt dir: 0 
Chave:10345 | Alt esq: 2 | Alt dir: 1 
Chave:10346 | Alt esq: 0 | Alt dir: 0 
Chave:10347 | Alt esq: 8 | Alt dir: 7 
Chave:10348 | Alt esq: 0 | Alt dir: 0 
Chave:10349 | Alt esq: 1 | Alt dir: 0 
Chave:10350 | Alt esq: 2 | Alt dir: 2 
Chave:10351 | Alt esq: 0 | Alt dir: 0 
Chave:10352 | Alt esq: 1 | Alt dir: 1 
Chave:10353 | Alt esq: 0 | Alt dir: 0 
Chave:10354 | Alt esq: 3 | Alt dir: 3 
Chave:10355 | Alt esq: 0 | Alt dir: 0 
Chave:10356 | Alt esq: 1 | Alt dir: 0 
Chave:10357 | Alt esq: 2 | Alt dir: 2 
Chave:10358 | Alt esq: 0 | Alt dir: 0 
Chave:10359 | Alt esq: 1 | Alt dir: 1 
Chave:10360 | Alt esq: 0 | Alt dir: 0 
Chave:10361 | Alt esq: 4 | Alt dir: 4 
Chave:10362 | Alt esq: 0 | Alt dir: 0 
Chave:10363 | Alt esq: 1 | Alt dir: 0 
Chave:10364 | Alt esq: 2 | Alt dir: 2 
Chave:10365 | Alt esq: 0 | Alt dir: 1 
Chave:10366 | Alt esq: 0 | Alt dir: 0 
Chave:10367 | Alt esq: 3 | Alt dir: 3 
Chave:10368 | Alt esq: 0 | Alt dir: 0 
Chave:10369 | Alt esq: 1 | Alt dir: 1 
Chave:10370 | Alt esq: 0 | Alt dir: 0 
Chave:10371 | Alt esq: 2 | Alt dir: 2 
Chave:10372 | Alt esq: 0 | Alt dir: 0 
Chave:10373 | Alt esq: 1 | Alt dir: 1 
Chave:10374 | Alt esq: 0 | Alt dir: 0 
Chave:10375 | Alt esq: 5 | Alt dir: 6 
Chave:10376 | Alt esq: 0 | Alt dir: 0 
Chave:10377 | Alt esq: 1 | Alt dir: 1 
Chave:10378 | Alt esq: 0 | Alt dir: 0 
Chave:10379 | Alt esq: 2 | Alt dir: 2 
Chave:10380 | Alt esq: 0 | Alt dir: 1 
Chave:10381 | Alt esq: 0 | Alt dir: 0 
Chave:10382 | Alt esq: 3 | Alt dir: 2 
Chave:10383 | Alt esq: 0 | Alt dir: 0 
Chave:10384 | Alt esq: 1 | Alt dir: 1 
Chave:10385 | Alt esq: 0 | Alt dir: 0 
Chave:10386 | Alt esq: 4 | Alt dir: 4 
Chave:10387 | Alt esq: 0 | Alt dir: 0 
Chave:10388 | Alt esq: 1 | Alt dir: 1 
Chave:10389 | Alt esq: 0 | Alt dir: 0 
Chave:10390 | Alt esq: 2 | Alt dir: 3 
Chave:10391 | Alt esq: 0 | Alt dir: 0 
Chave:10392 | Alt esq: 1 | Alt dir: 0 
Chave:10393 | Alt esq: 2 | Alt dir: 2 
Chave:10394 | Alt esq: 0 | Alt dir: 0 
Chave:10395 | Alt esq: 1 | Alt dir: 1 
Chave:10396 | Alt esq: 0 | Alt dir: 0 
Chave:10397 | Alt esq: 5 | Alt dir: 5 
Chave:10398 | Alt esq: 0 | Alt dir: 0 
Chave:10399 | Alt esq: 1 | Alt dir: 1 
Chave:10400 | Alt esq: 0 | Alt dir: 0 
Chave:10401 | Alt esq: 2 | Alt dir: 3 
Chave:10402 | Alt esq: 0 | Alt dir: 1 
Chave:10403 | Alt esq: 0 | Alt dir: 0 
Chave:10404 | Alt esq: 2 | Alt dir: 2 
Chave:10405 | Alt esq: 0 | Alt dir: 0 
Chave:10406 | Alt esq: 1 | Alt dir: 1 
Chave:10407 | Alt esq: 0 | Alt dir: 0 
Chave:10408 | Alt esq: 4 | Alt dir: 3 
Chave:10409 | Alt esq: 0 | Alt dir: 0 
Chave:10410 | Alt esq: 1 | Alt dir: 2 
Chave:10411 | Alt esq: 0 | Alt dir: 0 
Chave:10412 | Alt esq: 1 | Alt dir: 0 
Chave:10413 | Alt esq: 9 | Alt dir: 8 
Chave:10414 | Alt esq: 0 | Alt dir: 0 
Chave:10415 | Alt esq: 1 | Alt dir: 0 
Chave:10416 | Alt esq: 2 | Alt dir: 1 
Chave:10417 | Alt esq: 0 | Alt dir: 0 
Chave:10418 | Alt esq: 3 | Alt dir: 3 
Chave:10419 | Alt esq: 0 | Alt dir: 1 
Chave:10420 | Alt esq: 0 | Alt dir: 0 
Chave:10421 | Alt esq: 2 | Alt dir: 2 
Chave:10422 | Alt esq: 0 | Alt dir: 1 
Chave:10423 | Alt esq: 0 | Alt dir: 0 
Chave:10424 | Alt esq: 4 | Alt dir: 5 
Chave:10425 | Alt esq: 0 | Alt dir: 0 
Chave:10426 | Alt esq: 1 | Alt dir: 1 
Chave:10427 | Alt esq: 0 | Alt dir: 0 
Chave:10428 | Alt esq: 2 | Alt dir: 2 
Chave:10429 | Alt esq: 0 | Alt dir: 0 
Chave:10430 | Alt esq: 1 | Alt dir: 1 
Chave:10431 | Alt esq: 0 | Alt dir: 0 
Chave:10432 | Alt esq: 3 | Alt dir: 4 
Chave:10433 | Alt esq: 0 | Alt dir: 1 
Chave:10434 | Alt esq: 0 | Alt dir: 0 
Chave:10435 | Alt esq: 2 | Alt dir: 3 
Chave:10436 | Alt esq: 0 | Alt dir: 1 
Chave:10437 | Alt esq: 0 | Alt dir: 0 
Chave:10438 | Alt esq: 2 | Alt dir: 1 
Chave:10439 | Alt esq: 0 | Alt dir: 0 
Chave:10440 | Alt esq: 6 | Alt dir: 6 
Chave:10441 | Alt esq: 0 | Alt dir: 0 
Chave:10442 | Alt esq: 1 | Alt dir: 0 
Chave:10443 | Alt esq: 2 | Alt dir: 2 
Chave:10444 | Alt esq: 0 | Alt dir: 1 
Chave:10445 | Alt esq: 0 | Alt dir: 0 
Chave:10446 | Alt esq: 3 | Alt dir: 2 
Chave:10447 | Alt esq: 0 | Alt dir: 0 
Chave:10448 | Alt esq: 1 | Alt dir: 0 
Chave:10449 | Alt esq: 4 | Alt dir: 5 
Chave:10450 | Alt esq: 0 | Alt dir: 0 
Chave:10451 | Alt esq: 1 | Alt dir: 1 
Chave:10452 | Alt esq: 0 | Alt dir: 0 
Chave:10453 | Alt esq: 2 | Alt dir: 3 
Chave:10454 | Alt esq: 0 | Alt dir: 0 
Chave:10455 | Alt esq: 1 | Alt dir: 0 
Chave:10456 | Alt esq: 2 | Alt dir: 1 
Chave:10457 | Alt esq: 0 | Alt dir: 0 
Chave:10458 | Alt esq: 4 | Alt dir: 3 
Chave:10459 | Alt esq: 0 | Alt dir: 0 
Chave:10460 | Alt esq: 1 | Alt dir: 1 
Chave:10461 | Alt esq: 0 | Alt dir: 0 
Chave:10462 | Alt esq: 2 | Alt dir: 2 
Chave:10463 | Alt esq: 0 | Alt dir: 0 
Chave:10464 | Alt esq: 1 | Alt dir: 1 
Chave:10465 | Alt esq: 0 | Alt dir: 0 
Chave:10466 | Alt esq: 7 | Alt dir: 7 
Chave:10467 | Alt esq: 0 | Alt dir: 0 
Chave:10468 | Alt esq: 1 | Alt dir: 1 
Chave:10469 | Alt esq: 0 | Alt dir: 0 
Chave:10470 | Alt esq: 2 | Alt dir: 2 
Chave:10471 | Alt esq: 0 | Alt dir: 1 
Chave:10472 | Alt esq: 0 | Alt dir: 0 
Chave:10473 | Alt esq: 3 | Alt dir: 4 
Chave:10474 | Alt esq: 0 | Alt dir: 0 
Chave:10475 | Alt esq: 1 | Alt dir: 0 
Chave:10476 | Alt esq: 2 | Alt dir: 3 
Chave:10477 | Alt esq: 0 | Alt dir: 0 
Chave:10478 | Alt esq: 1 | Alt dir: 2 
Chave:10479 | Alt esq: 0 | Alt dir: 0 
Chave:10480 | Alt esq: 1 | Alt dir: 1 
Chave:10481 | Alt esq: 0 | Alt dir: 0 
Chave:10482 | Alt esq: 5 | Alt dir: 4 
Chave:10483 | Alt esq: 0 | Alt dir: 0 
Chave:10484 | Alt esq: 1 | Alt dir: 1 
Chave:10485 | Alt esq: 0 | Alt dir: 0 
Chave:10486 | Alt esq: 2 | Alt dir: 2 
Chave:10487 | Alt esq: 0 | Alt dir: 0 
Chave:10488 | Alt esq: 1 | Alt dir: 1 
Chave:10489 | Alt esq: 0 | Alt dir: 0 
Chave:10490 | Alt esq: 3 | Alt dir: 3 
Chave:10491 | Alt esq: 0 | Alt dir: 0 
Chave:10492 | Alt esq: 1 | Alt dir: 2 
Chave:10493 | Alt esq: 0 | Alt dir: 0 
Chave:10494 | Alt esq: 1 | Alt dir: 1 
Chave:10495 | Alt esq: 0 | Alt dir: 0 
Chave:10496 | Alt esq: 6 | Alt dir: 5 
Chave:10497 | Alt esq: 0 | Alt dir: 0 
Chave:10498 | Alt esq: 1 | Alt dir: 1 
